Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
Bentleigh East,3,h,S,Buxton,13.8,3165.0,3.0,1.0,2.0,650.0,,,Glen Eira City Council,-37.91905,145.05597,Southern Metropolitan,10969.0,1617000
Caulfield East,2,t,SP,Gary,9.3,3145.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,608.0,910000
Sunshine,3,h,S,Douglas,10.5,3020.0,3.0,1.0,1.0,441.0,125.0,1956.0,Brimbank City Council,-37.79017,144.83713,Western Metropolitan,3755.0,856000
Yarraville,2,h,S,hockingstuart,7.0,3013.0,2.0,1.0,3.0,531.0,111.0,1940.0,Maribyrnong City Council,-37.8158,144.8707,Western Metropolitan,6543.0,1256000
Reservoir,2,h,S,hockingstuart,12.0,3073.0,2.0,1.0,2.0,519.0,,,Darebin City Council,-37.73019,145.01712,Northern Metropolitan,21650.0,875000
Kingsville,3,h,S,Village,6.4,3012.0,3.0,1.0,0.0,273.0,,,Maribyrnong City Council,-37.81111,144.88272,Western Metropolitan,1808.0,1196000
Templestowe,4,h,S,Barry,15.5,3106.0,4.0,2.0,2.0,,35.0,1980.0,Manningham City Council,-37.76586,145.16572,Eastern Metropolitan,6202.0,1700000
Strathmore,3,h,S,Paul,9.7,3041.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3284.0,1300000
Altona Meadows,4,h,S,Reliance,15.5,3028.0,4.0,2.0,2.0,503.0,190.0,1990.0,Hobsons Bay City Council,-37.87774,144.77313,Western Metropolitan,7630.0,761000
Doncaster East,5,h,SP,Barry,14.3,3109.0,5.0,3.0,2.0,653.0,239.0,1980.0,Manningham City Council,-37.79751,145.14706,Eastern Metropolitan,10999.0,1200000
Hampton East,3,t,S,Buxton,13.8,3188.0,,,,,,,Bayside City Council,,,Southern Metropolitan,2356.0,1055000
Brunswick,2,u,S,Nelson,5.2,3056.0,,,,,,,Moreland City Council,,,Northern Metropolitan,11918.0,570000
Doncaster,3,h,S,Ray,13.9,3108.0,3.0,1.0,1.0,658.0,140.0,1960.0,Manningham City Council,-37.7816,145.1066,Eastern Metropolitan,9028.0,1190000
Mont Albert,3,u,S,Ray,10.2,3127.0,,,,,,,Boroondara City Council,,,Eastern Metropolitan,2079.0,880888
Oak Park,2,t,PI,Barry,11.5,3046.0,2.0,1.0,1.0,118.0,113.0,2010.0,Moreland City Council,-37.7232,144.9154,Northern Metropolitan,2651.0,475000
Caulfield,4,h,PI,Rodney,8.9,3162.0,4.0,1.0,2.0,499.0,155.0,1920.0,Glen Eira City Council,-37.8864,145.0242,Southern Metropolitan,2379.0,131000
Balwyn,3,h,VB,Jellis,9.7,3103.0,3.0,2.0,3.0,613.0,193.0,1943.0,Boroondara City Council,-37.8056,145.0688,Southern Metropolitan,5682.0,1750000
Coburg,3,h,S,Jellis,7.8,3058.0,3.0,1.0,1.0,309.0,,1880.0,Darebin City Council,-37.7434,144.9697,Northern Metropolitan,11204.0,985000
Northcote,2,t,S,hockingstuart,5.3,3070.0,,,,,,,Darebin City Council,,,Northern Metropolitan,11364.0,810000
Camberwell,4,h,S,Jellis,7.7,3124.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,8920.0,1985000
Brunswick,4,h,PI,Jellis,5.2,3056.0,4.0,2.0,1.0,459.0,,,Moreland City Council,-37.7548,144.9545,Northern Metropolitan,11918.0,1500000
Sydenham,4,h,S,Purplebricks,18.0,3037.0,4.0,2.0,2.0,1017.0,156.0,2000.0,Brimbank City Council,-37.69106,144.75854,Western Metropolitan,3640.0,740000
Northcote,2,h,S,McGrath,5.5,3070.0,2.0,2.0,1.0,152.0,120.0,,Darebin City Council,-37.7661,145.0001,Northern Metropolitan,11364.0,1085000
Carlton North,2,h,VB,Nelson,3.2,3054.0,2.0,1.0,2.0,373.0,,,Melbourne City Council,-37.7828,144.9702,Northern Metropolitan,3106.0,1150000
East Melbourne,2,u,S,Caine,1.3,3002.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,3040.0,1035000
Windsor,3,u,S,hockingstuart,5.1,3181.0,3.0,2.0,2.0,0.0,112.0,2000.0,Port Phillip City Council,-37.8526,144.9977,Southern Metropolitan,4380.0,830000
Glen Waverley,4,h,S,Harcourts,16.7,3150.0,4.0,2.0,2.0,660.0,,,Monash City Council,-37.88927,145.18548,Eastern Metropolitan,15321.0,1200000
Burwood,4,t,PI,hockingstuart,10.4,3125.0,4.0,3.0,2.0,94.0,184.0,,Monash City Council,-37.85213,145.10928,Southern Metropolitan,5678.0,845000
Murrumbeena,2,u,SP,Gary,10.1,3163.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,4442.0,650000
Heidelberg,3,h,S,Fletchers,10.6,3084.0,3.0,2.0,2.0,330.0,171.0,2008.0,Banyule City Council,-37.7524,145.06,Eastern Metropolitan,2890.0,1271000
Mitcham,2,h,S,McGrath,17.2,3132.0,,,,,,,Whitehorse City Council,-37.81872,145.20427,Eastern Metropolitan,6871.0,635000
Kensington,3,h,S,Rendina,3.4,3031.0,3.0,1.0,,204.0,112.0,1890.0,Melbourne City Council,-37.79547,144.92802,Northern Metropolitan,5263.0,1115000
Oak Park,3,t,S,Eview,11.5,3046.0,,,,,,,Moreland City Council,,,Northern Metropolitan,2651.0,765000
East Melbourne,2,u,SP,Caine,1.5,3002.0,2.0,1.0,1.0,0.0,,,Melbourne City Council,-37.8154,144.9851,Northern Metropolitan,3040.0,900000
Ivanhoe East,2,u,VB,Miles,9.0,3079.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,1554.0,520000
Brunswick,3,h,S,Jellis,5.2,3056.0,3.0,2.0,1.0,240.0,162.0,2005.0,Moreland City Council,-37.756,144.9587,Northern Metropolitan,11918.0,976000
Kew,2,u,S,RT,5.6,3101.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,10331.0,843000
Seddon,3,h,S,Jas,6.6,3011.0,3.0,1.0,0.0,357.0,,,Maribyrnong City Council,-37.8103,144.8962,Western Metropolitan,2417.0,1126000
Clayton South,3,u,SP,hockingstuart,17.5,3169.0,3.0,2.0,2.0,363.0,,2006.0,Kingston City Council,-37.93296,145.12664,South-Eastern Metropolitan,4734.0,700000
Clayton,3,h,S,Buxton,16.7,3168.0,3.0,2.0,1.0,721.0,,,Monash City Council,-37.92221,145.11357,South-Eastern Metropolitan,5837.0,1371000
Kew East,3,h,PI,Noel,7.3,3102.0,3.0,2.0,2.0,696.0,,,Boroondara City Council,-37.79442,145.05887,Southern Metropolitan,2671.0,1775000
Carnegie,2,u,S,Buxton,10.1,3163.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,7822.0,685000
Hampton,4,h,S,RT,13.7,3188.0,4.0,2.0,1.0,667.0,184.0,1935.0,Bayside City Council,-37.9315,145.0109,Southern Metropolitan,5454.0,1800000
Vermont,3,h,S,Fletchers,17.2,3133.0,3.0,1.0,1.0,653.0,119.0,1970.0,Maroondah City Council,-37.84034,145.2022,Eastern Metropolitan,4181.0,988000
Hawthorn,2,u,S,Jellis,5.3,3122.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,11308.0,630000
Brunswick,2,h,PI,Re,5.2,3056.0,2.0,1.0,1.0,183.0,120.0,,Moreland City Council,-37.75743,144.97456,Northern Metropolitan,11918.0,790000
Abbotsford,2,u,SP,Jellis,3.0,3067.0,2.0,1.0,1.0,2379.0,69.0,2013.0,Yarra City Council,-37.80554,144.99612,Northern Metropolitan,4019.0,750000
Maidstone,3,h,S,Biggin,9.2,3012.0,3.0,2.0,2.0,260.0,,,Maribyrnong City Council,-37.7825,144.8833,Western Metropolitan,3873.0,725000
Coburg North,3,h,S,Nelson,6.7,3058.0,3.0,1.0,2.0,402.0,123.0,1950.0,Darebin City Council,-37.7341,144.97725,Northern Metropolitan,3445.0,950000
Bayswater North,2,u,S,McGrath,23.2,3153.0,,,,,,,Maroondah City Council,,,Eastern Metropolitan,3598.0,526000
Prahran,2,h,PI,Marshall,4.6,3181.0,2.0,1.0,,158.0,158.0,1890.0,Stonnington City Council,-37.85359,145.01071,Southern Metropolitan,7717.0,1300000
Mitcham,4,h,S,Fletchers,17.2,3132.0,4.0,2.0,2.0,,252.0,2015.0,Whitehorse City Council,-37.8101,145.20495,Eastern Metropolitan,6871.0,1306000
Maribyrnong,3,h,S,Edward,8.7,3032.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,4918.0,1275000
Newport,3,h,S,Williams,8.4,3015.0,3.0,2.0,0.0,311.0,,1920.0,Hobsons Bay City Council,-37.85,144.8914,Western Metropolitan,5498.0,1220000
Thomastown,3,h,S,HAR,15.3,3074.0,3.0,2.0,3.0,682.0,,1975.0,Whittlesea City Council,-37.68283,144.98635,Northern Metropolitan,7955.0,655000
Greensborough,5,h,VB,Nelson,16.1,3088.0,5.0,2.0,2.0,900.0,192.0,1955.0,Banyule City Council,-37.7008,145.09974,Northern Metropolitan,8524.0,1000000
Hampton,3,h,S,RT,13.7,3188.0,3.0,2.0,2.0,413.0,,,Bayside City Council,-37.9352,145.0009,Southern Metropolitan,5454.0,1450000
Clarinda,5,h,S,Woodards,17.5,3169.0,5.0,3.0,2.0,537.0,,,Kingston City Council,-37.93759,145.10028,South-Eastern Metropolitan,2727.0,976000
Northcote,2,h,SP,Nelson,5.3,3070.0,2.0,1.0,0.0,114.0,,,Darebin City Council,-37.78024,144.99289,Northern Metropolitan,11364.0,950000
Keilor,3,u,SP,Brad,14.5,3036.0,3.0,2.0,2.0,,,,Brimbank City Council,-37.71811,144.83548,Western Metropolitan,2339.0,760000
Ivanhoe,2,t,S,Miles,7.9,3079.0,3.0,1.0,2.0,152.0,,1970.0,Banyule City Council,-37.7635,145.0464,Eastern Metropolitan,5549.0,779000
West Footscray,2,h,S,Burnham,8.2,3012.0,2.0,1.0,2.0,161.0,700.0,1977.0,Maribyrnong City Council,-37.7905,144.8714,Western Metropolitan,5058.0,495000
Werribee,3,h,SP,Biggin,14.7,3030.0,3.0,1.0,3.0,567.0,121.0,1980.0,Wyndham City Council,-37.88666,144.66149,Western Metropolitan,16166.0,452000
Melton,4,h,SP,FN,31.7,3337.0,,,,,,,Melton City Council,-37.67696,144.578,Western Victoria,3600.0,375000
Fitzroy,2,t,S,Peter,2.1,3065.0,,,,,,,Yarra City Council,,,Northern Metropolitan,5825.0,753000
Preston,2,t,S,hockingstuart,8.8,3072.0,,,,,,,Darebin City Council,,,Northern Metropolitan,14577.0,535000
Preston,3,h,S,hockingstuart,8.8,3072.0,3.0,2.0,2.0,590.0,140.0,1940.0,Darebin City Council,-37.7336,144.9958,Northern Metropolitan,14577.0,1127000
Rosanna,4,h,PI,Nelson,8.9,3084.0,,,,,,,Banyule City Council,-37.74572,145.07263,Eastern Metropolitan,3540.0,1125000
Reservoir,3,h,S,Nelson,12.0,3073.0,3.0,1.0,2.0,627.0,136.0,1950.0,Darebin City Council,-37.72216,144.99381,Northern Metropolitan,21650.0,860000
Balaclava,2,u,SP,hockingstuart,6.4,3183.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,2952.0,495000
Brunswick,2,h,S,Nelson,5.2,3056.0,2.0,1.0,1.0,255.0,134.0,1916.0,Moreland City Council,-37.77455,144.96865,Northern Metropolitan,11918.0,1450000
South Yarra,3,h,S,Jellis,3.3,3141.0,3.0,2.0,1.0,90.0,,,Melbourne City Council,-37.8406,144.9864,Southern Metropolitan,14887.0,1056800
Fitzroy North,3,h,S,Collins,3.5,3068.0,3.0,1.0,1.0,340.0,,,Moreland City Council,-37.7869,144.9863,Northern Metropolitan,6244.0,2555000
Braybrook,3,h,SP,Sweeney,10.8,3019.0,3.0,1.0,2.0,587.0,,,Maribyrnong City Council,-37.7843,144.8472,Western Metropolitan,3589.0,510000
Watsonia,5,h,S,Barry,14.9,3087.0,5.0,1.0,2.0,545.0,132.0,1970.0,Banyule City Council,-37.705,145.0825,Northern Metropolitan,2329.0,826000
Pascoe Vale,3,t,PI,Barry,8.5,3044.0,,,,,,,Moreland City Council,,,Northern Metropolitan,7485.0,685000
Moonee Ponds,5,h,S,Nelson,6.2,3039.0,5.0,3.0,3.0,718.0,,1910.0,Moonee Valley City Council,-37.76085,144.91046,Western Metropolitan,6232.0,2760000
Delahey,3,h,PI,Bells,18.0,3037.0,,,,,,,Brimbank City Council,,,Western Metropolitan,2898.0,580000
Preston,2,h,S,Love,8.4,3072.0,2.0,1.0,1.0,688.0,,,Darebin City Council,-37.74847,145.01193,Northern Metropolitan,14577.0,1050000
Rosanna,3,h,VB,Miles,8.9,3084.0,3.0,2.0,2.0,802.0,,,Banyule City Council,-37.73292,145.06549,Eastern Metropolitan,3540.0,1040000
Carlton North,2,u,S,Nelson,3.5,3054.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,3106.0,695000
Hillside,4,h,PI,Prof.,18.0,3037.0,4.0,2.0,4.0,650.0,180.0,2001.0,Brimbank City Council,-37.69971,144.74623,Western Metropolitan,5556.0,640000
Thornbury,1,u,SP,Harcourts,7.0,3071.0,,,,,,,Darebin City Council,,,Northern Metropolitan,8870.0,373333
Roxburgh Park,3,h,S,Raine,20.6,3064.0,3.0,2.0,2.0,552.0,,,Hume City Council,-37.63386,144.91951,Northern Metropolitan,5833.0,550000
Bentleigh East,3,t,PI,Buxton,13.8,3165.0,3.0,2.0,1.0,200.0,,,Glen Eira City Council,-37.91847,145.08101,Southern Metropolitan,10969.0,850000
Carnegie,2,u,S,hockingstuart,11.4,3163.0,2.0,1.0,1.0,898.0,,1970.0,Glen Eira City Council,-37.9003,145.0634,Southern Metropolitan,7822.0,586000
Moorabbin,3,h,VB,Jellis,14.3,3189.0,3.0,1.0,4.0,,,,Kingston City Council,-37.94172,145.05563,Southern Metropolitan,2555.0,1150000
Greenvale,5,h,SP,RW,20.4,3059.0,5.0,3.0,2.0,743.0,283.0,2005.0,Hume City Council,-37.6444,144.9081,Northern Metropolitan,4864.0,735000
MacLeod,3,h,S,Miles,12.7,3085.0,,,,,,,Banyule City Council,,,Northern Metropolitan,4168.0,1210000
Brunswick East,1,u,S,Alexkarbon,4.0,3057.0,,,,,,,Moreland City Council,,,Northern Metropolitan,5533.0,407000
Sunshine West,4,h,S,Barry,13.5,3020.0,,,,,,,Brimbank City Council,,,Western Metropolitan,6763.0,451500
Delahey,4,h,S,YPA,18.0,3037.0,4.0,2.0,1.0,537.0,189.0,1995.0,Brimbank City Council,-37.71269,144.77135,Western Metropolitan,2898.0,615000
Brunswick East,3,h,VB,Barry,4.0,3057.0,3.0,2.0,2.0,,,,Moreland City Council,-37.76339,144.97792,Northern Metropolitan,5533.0,1450000
Dandenong,2,u,S,McLennan,24.7,3175.0,2.0,1.0,2.0,,,,Greater Dandenong City Council,-37.98664,145.22285,South-Eastern Metropolitan,10894.0,445000
Sunshine,3,h,S,Barry,12.6,3020.0,3.0,1.0,1.0,550.0,,,Brimbank City Council,-37.7952,144.8302,Western Metropolitan,3755.0,701000
Carlton,2,u,S,Nelson,1.6,3053.0,,,,,,,Melbourne City Council,-37.80479,144.96725,Northern Metropolitan,6786.0,612500
Brighton East,5,h,PI,RT,10.7,3187.0,5.0,3.0,3.0,669.0,309.0,1970.0,Bayside City Council,-37.9289,145.0284,Southern Metropolitan,6938.0,2050000
Bulleen,4,h,S,Barry,11.8,3105.0,,,,,,,Manningham City Council,,,Eastern Metropolitan,4480.0,1380000
Viewbank,2,u,S,Miles,8.9,3084.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,2698.0,616000
Ascot Vale,3,t,S,Brad,4.3,3032.0,3.0,1.0,2.0,370.0,,,Moonee Valley City Council,-37.78129,144.9201,Western Metropolitan,6567.0,953000
Glenroy,3,t,SP,Stockdale,13.0,3046.0,3.0,2.0,2.0,244.0,3.0,,Moreland City Council,-37.6969,144.9299,Northern Metropolitan,8870.0,555000
Surrey Hills,2,u,S,Noel,10.2,3127.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,5457.0,814000
Melton West,4,h,S,hockingstuart,31.7,3337.0,4.0,2.0,2.0,888.0,210.0,2007.0,Melton City Council,-37.67234,144.54543,Northern Victoria,6065.0,630000
Bentleigh East,3,t,S,Ray,13.9,3165.0,3.0,2.0,2.0,208.0,,,Glen Eira City Council,-37.9108,145.0794,Southern Metropolitan,10969.0,882000
Ardeer,4,h,PI,Barry,12.8,3022.0,4.0,1.0,2.0,,,,Brimbank City Council,-37.78188,144.80895,Western Metropolitan,1281.0,620000
Heidelberg West,2,h,PI,Ray,9.4,3081.0,2.0,1.0,2.0,668.0,88.0,1950.0,Banyule City Council,-37.7389,145.0393,Eastern Metropolitan,2674.0,620000
Bentleigh,2,u,SP,McGrath,11.4,3204.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795.0,505000
Newport,1,h,SP,Greg,8.4,3015.0,1.0,1.0,0.0,129.0,45.0,1900.0,Hobsons Bay City Council,-37.8491,144.8903,Western Metropolitan,5498.0,643700
West Footscray,1,u,S,Sweeney,8.2,3012.0,1.0,1.0,1.0,0.0,99.0,,Maribyrnong City Council,-37.8067,144.8678,Western Metropolitan,5058.0,241000
Brighton,2,h,S,hockingstuart,11.2,3186.0,2.0,1.0,2.0,318.0,,,Bayside City Council,-37.9011,145.0011,Southern Metropolitan,10579.0,1102000
Yarraville,2,u,VB,Jas,7.0,3013.0,2.0,1.0,1.0,0.0,,1970.0,Maribyrnong City Council,-37.8133,144.8865,Western Metropolitan,6543.0,330000
Montmorency,3,h,PI,Barry,16.2,3094.0,3.0,1.0,3.0,615.0,,,Banyule City Council,-37.72588,145.13443,Eastern Metropolitan,3891.0,700000
Pascoe Vale,4,h,S,Nelson,9.9,3044.0,4.0,1.0,1.0,593.0,131.0,1970.0,Moreland City Council,-37.7278,144.9463,Northern Metropolitan,7485.0,800000
Balwyn North,3,h,S,Noel,9.2,3104.0,3.0,1.0,0.0,635.0,,1960.0,Boroondara City Council,-37.7982,145.0839,Southern Metropolitan,7809.0,1320000
Yarraville,3,h,S,Douglas,7.0,3013.0,3.0,1.0,1.0,442.0,,,Maribyrnong City Council,-37.8182,144.8727,Western Metropolitan,6543.0,931000
Craigieburn,4,h,S,Ray,20.6,3064.0,4.0,2.0,4.0,731.0,170.0,1992.0,Hume City Council,-37.60894,144.92786,Northern Metropolitan,15510.0,583000
Footscray,2,h,SP,Jas,5.1,3011.0,2.0,1.0,1.0,,111.0,1900.0,Maribyrnong City Council,-37.79617,144.89116,Western Metropolitan,7570.0,978000
Eltham,3,t,SP,Nelson,18.0,3095.0,3.0,2.0,2.0,247.0,,2009.0,Banyule City Council,-37.70318,145.16467,Eastern Metropolitan,6990.0,751000
Brunswick East,2,h,SP,Jellis,4.0,3057.0,2.0,1.0,1.0,,121.0,1940.0,Moreland City Council,-37.7759,144.9771,Northern Metropolitan,5533.0,1000000
Wollert,3,h,PI,Iconek,25.5,3750.0,3.0,2.0,2.0,383.0,148.0,2013.0,Whittlesea City Council,-37.61929,145.01613,Northern Metropolitan,2940.0,540000
Glenroy,3,h,S,YPA,11.2,3046.0,3.0,1.0,1.0,308.0,93.0,1950.0,Moreland City Council,-37.69879,144.93354,Northern Metropolitan,8870.0,570000
Caulfield North,2,u,S,Gary,7.8,3161.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6923.0,715000
Glen Iris,2,u,VB,Domain,9.2,3146.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412.0,580000
Yarraville,3,h,S,Jas,7.0,3013.0,3.0,1.0,2.0,494.0,,,Maribyrnong City Council,-37.8234,144.8742,Western Metropolitan,6543.0,845000
West Footscray,4,u,SP,Sweeney,8.2,3012.0,4.0,2.0,1.0,0.0,171.0,1970.0,Maribyrnong City Council,-37.809,144.8686,Western Metropolitan,5058.0,530000
Blackburn,4,h,S,Woodards,13.4,3130.0,4.0,2.0,2.0,661.0,,,Whitehorse City Council,-37.82826,145.16596,Eastern Metropolitan,5713.0,1500000
Maribyrnong,2,u,PI,McDonald,8.7,3032.0,2.0,2.0,1.0,3014.0,204.0,2012.0,Maribyrnong City Council,-37.7853,144.8944,Western Metropolitan,4918.0,570000
Essendon,2,u,S,Brad,7.5,3040.0,2.0,1.0,1.0,1032.0,,,Moonee Valley City Council,-37.7498,144.91228,Western Metropolitan,9264.0,550000
Reservoir,3,h,S,Nelson,11.2,3073.0,3.0,2.0,3.0,479.0,153.0,1950.0,Darebin City Council,-37.7271,144.9968,Northern Metropolitan,21650.0,998000
Hampton East,3,h,S,Charlton,14.5,3188.0,,,,,,,Bayside City Council,,,Southern Metropolitan,2356.0,1081000
Essendon,3,t,S,Barry,8.0,3040.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264.0,955000
Sunshine North,3,h,SP,Sweeney,10.5,3020.0,3.0,1.0,1.0,581.0,,,Brimbank City Council,-37.7674,144.82421,Western Metropolitan,4217.0,610000
Hawthorn East,3,h,S,Marshall,6.2,3123.0,3.0,1.0,2.0,,98.0,1900.0,Boroondara City Council,-37.82861,145.04667,Southern Metropolitan,6482.0,1805000
Moonee Ponds,3,h,S,Nelson,6.9,3039.0,3.0,2.0,2.0,597.0,,,Moonee Valley City Council,-37.761,144.9296,Western Metropolitan,6232.0,1400000
Glen Iris,2,u,VB,Gary,7.3,3146.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412.0,760000
Reservoir,3,u,SP,Barry,11.2,3073.0,3.0,1.0,2.0,521.0,100.0,2010.0,Darebin City Council,-37.7097,144.9912,Northern Metropolitan,21650.0,475000
Pascoe Vale,2,h,S,Brad,8.5,3044.0,2.0,1.0,1.0,436.0,,,Moreland City Council,-37.7273,144.9452,Northern Metropolitan,7485.0,825500
Wyndham Vale,3,h,S,hockingstuart,27.2,3024.0,,,,,,,Wyndham City Council,,,Western Metropolitan,5262.0,516000
Glen Iris,3,h,S,Jellis,7.3,3146.0,3.0,2.0,2.0,,,,Boroondara City Council,-37.8631,145.0702,Southern Metropolitan,10412.0,1427000
Essendon,4,h,SP,Barry,7.5,3040.0,4.0,2.0,2.0,447.0,,,Moonee Valley City Council,-37.74518,144.8995,Western Metropolitan,9264.0,1485000
Croydon,2,u,S,Max,23.0,3136.0,,,,,,,Maroondah City Council,,,Eastern Metropolitan,11925.0,594500
Greensborough,4,h,S,Morrison,16.1,3088.0,4.0,2.0,2.0,771.0,197.0,1980.0,Banyule City Council,-37.69216,145.11166,Northern Metropolitan,8524.0,1120000
Glen Iris,3,u,VB,Marshall,7.3,3146.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,10412.0,800000
Prahran,2,u,S,Biggin,4.5,3181.0,,,,,,,Stonnington City Council,,,Southern Metropolitan,7717.0,523000
Preston,3,h,PI,Haughton,8.4,3072.0,3.0,1.0,2.0,693.0,93.0,1950.0,Darebin City Council,-37.74528,145.01987,Northern Metropolitan,14577.0,920000
Epping,4,h,S,Ray,19.6,3076.0,4.0,2.0,2.0,614.0,224.0,2006.0,Whittlesea City Council,-37.63291,145.03706,Northern Metropolitan,10926.0,621000
Brunswick West,3,t,VB,Nelson,5.2,3055.0,,,,,,,Moreland City Council,,,Northern Metropolitan,7082.0,700000
Reservoir,3,h,S,Love,11.2,3073.0,3.0,2.0,2.0,803.0,,,Darebin City Council,-37.7086,145.0313,Northern Metropolitan,21650.0,692500
St Kilda,4,h,VB,Gary,5.0,3182.0,4.0,2.0,3.0,613.0,160.0,1910.0,Port Phillip City Council,-37.86667,144.98324,Southern Metropolitan,13240.0,1600000
Chelsea Heights,3,h,SP,hockingstuart,27.0,3196.0,3.0,1.0,1.0,650.0,138.0,1960.0,Kingston City Council,-38.04513,145.1346,South-Eastern Metropolitan,2076.0,710000
Coburg,3,h,S,Nelson,6.7,3058.0,3.0,1.0,2.0,579.0,143.0,1930.0,Darebin City Council,-37.74482,144.97499,Northern Metropolitan,11204.0,1285000
St Kilda,2,h,S,Marshall,6.1,3182.0,2.0,1.0,4.0,147.0,,,Port Phillip City Council,-37.865,144.9804,Southern Metropolitan,13240.0,1250000
Brighton,2,u,PI,Biggin,10.5,3186.0,,,,,,,Bayside City Council,,,Southern Metropolitan,10579.0,930000
West Footscray,1,u,PI,Burnham,6.4,3012.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,5058.0,220000
Keilor East,3,t,VB,Barry,11.7,3033.0,3.0,2.0,1.0,677.0,,,Brimbank City Council,-37.7301,144.86685,Western Metropolitan,5629.0,780000
Greensborough,4,h,PI,Darren,16.1,3088.0,4.0,2.0,1.0,584.0,220.0,1980.0,Banyule City Council,-37.69073,145.09421,Northern Metropolitan,8524.0,708000
Caulfield North,1,u,VB,hockingstuart,8.1,3161.0,1.0,1.0,1.0,952.0,43.0,1970.0,Glen Eira City Council,-37.8744,145.0371,Southern Metropolitan,6923.0,290000
Hawthorn,2,u,S,Marshall,4.6,3122.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,11308.0,571000
Pascoe Vale,2,u,S,Brad,8.5,3044.0,,,,,,,Moreland City Council,-37.7168,144.94426,Northern Metropolitan,7485.0,496000
Northcote,3,h,PI,Collins,5.5,3070.0,3.0,1.0,1.0,247.0,160.0,1890.0,Darebin City Council,-37.7798,144.9952,Northern Metropolitan,11364.0,1710000
Glen Iris,3,h,S,hockingstuart,9.2,3146.0,3.0,2.0,3.0,680.0,170.0,1935.0,Boroondara City Council,-37.854,145.0832,Southern Metropolitan,10412.0,1735000
Mentone,3,t,SA,Upside,20.0,3194.0,3.0,3.0,2.0,93.0,172.0,2010.0,Kingston City Council,-37.9791,145.0758,South-Eastern Metropolitan,6162.0,825000
Carnegie,4,h,S,Woodards,11.4,3163.0,4.0,3.0,4.0,838.0,,,Glen Eira City Council,-37.8972,145.0617,Southern Metropolitan,7822.0,1423000
Carlton,4,h,S,Woodards,1.8,3053.0,4.0,1.0,0.0,121.0,,,Melbourne City Council,-37.7967,144.9724,Northern Metropolitan,6786.0,1162000
Balwyn,3,u,PI,Jellis,7.9,3103.0,3.0,2.0,2.0,,20.0,1994.0,Boroondara City Council,-37.8109,145.07258,Southern Metropolitan,5682.0,1455000
Glen Iris,2,h,S,Marshall,9.2,3146.0,3.0,1.0,2.0,660.0,,,Boroondara City Council,-37.8536,145.0911,Southern Metropolitan,10412.0,1500000
Croydon,3,h,S,Barry,23.0,3136.0,3.0,2.0,2.0,,,1970.0,Maroondah City Council,-37.78376,145.26544,Eastern Metropolitan,11925.0,720000
Collingwood,2,h,S,Jellis,1.6,3066.0,2.0,1.0,0.0,231.0,,,Yarra City Council,-37.7969,144.9905,Northern Metropolitan,4553.0,1430000
Heidelberg Heights,2,u,S,Miles,8.8,3081.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,2947.0,568000
Ferntree Gully,3,h,S,Barry,24.8,3156.0,3.0,2.0,2.0,831.0,,,Knox City Council,-37.87408,145.27623,Eastern Metropolitan,10788.0,855000
Newport,3,h,VB,Williams,8.4,3015.0,3.0,2.0,2.0,296.0,,1910.0,Hobsons Bay City Council,-37.8395,144.8825,Western Metropolitan,5498.0,920000
Thornbury,4,h,S,Jellis,6.5,3071.0,4.0,2.0,2.0,464.0,,,Darebin City Council,-37.7579,145.0169,Northern Metropolitan,8870.0,1635000
Glen Iris,4,h,PI,Kay,7.3,3146.0,4.0,2.0,2.0,706.0,275.0,1900.0,Boroondara City Council,-37.8591,145.0755,Southern Metropolitan,10412.0,2640000
Hampton,4,h,VB,Buxton,13.8,3188.0,4.0,3.0,2.0,,328.0,2001.0,Bayside City Council,-37.93191,145.01182,Southern Metropolitan,5454.0,3100000
